agent-1  | 2026-09-12T01:04:32.955246Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=26cc745e-7634-4b88-ba4e-60a812ea8037 path=/watch/latency-ext-047.txt
agent-1  | 2026-09-12T01:04:32.962338Z [info     ] publisher.event_published      event_id=26cc745e-7634-4b88-ba4e-60a812ea8037
agent-1  | 2026-09-12T01:04:32.964617Z [info     ] detector.change_detected       event_id=26cc745e-7634-4b88-ba4e-60a812ea8037 event_type=file_modified path=/watch/latency-ext-047.txt
agent-1  | 2026-09-12T01:04:32.975170Z [info     ] publisher.event_acked          event_id=26cc745e-7634-4b88-ba4e-60a812ea8037
agent-1  | 2026-09-12T01:04:33.059266Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=0d4cd09c-1e2a-4365-98c6-1d77bb478b13 path=/watch/latency-ext-048.txt
agent-1  | 2026-09-12T01:04:33.066668Z [info     ] publisher.event_published      event_id=0d4cd09c-1e2a-4365-98c6-1d77bb478b13
agent-1  | 2026-09-12T01:04:33.068929Z [info     ] detector.change_detected       event_id=0d4cd09c-1e2a-4365-98c6-1d77bb478b13 event_type=file_modified path=/watch/latency-ext-048.txt
agent-1  | 2026-09-12T01:04:33.079088Z [info     ] publisher.event_acked          event_id=0d4cd09c-1e2a-4365-98c6-1d77bb478b13
agent-1  | 2026-09-12T01:04:33.138916Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=43994bfe-9862-4e1b-8c8c-31b982f8c93e path=/watch/latency-ext-049.txt
agent-1  | 2026-09-12T01:04:33.145748Z [info     ] publisher.event_published      event_id=43994bfe-9862-4e1b-8c8c-31b982f8c93e
agent-1  | 2026-09-12T01:04:33.148094Z [info     ] detector.change_detected       event_id=43994bfe-9862-4e1b-8c8c-31b982f8c93e event_type=file_modified path=/watch/latency-ext-049.txt
agent-1  | 2026-09-12T01:04:33.157988Z [info     ] publisher.event_acked          event_id=43994bfe-9862-4e1b-8c8c-31b982f8c93e
agent-1  | 2026-09-12T01:04:33.238725Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=c7b61efb-3108-4abc-bf1c-e80e1fbca66a path=/watch/latency-ext-050.txt
agent-1  | 2026-09-12T01:04:33.245511Z [info     ] publisher.event_published      event_id=c7b61efb-3108-4abc-bf1c-e80e1fbca66a
agent-1  | 2026-09-12T01:04:33.247982Z [info     ] detector.change_detected       event_id=c7b61efb-3108-4abc-bf1c-e80e1fbca66a event_type=file_modified path=/watch/latency-ext-050.txt
agent-1  | 2026-09-12T01:04:33.258008Z [info     ] publisher.event_acked          event_id=c7b61efb-3108-4abc-bf1c-e80e1fbca66a
agent-1  | 2026-09-12T01:04:33.342361Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=8a224fb5-b45b-4676-8f03-5b803efda917 path=/watch/latency-ext-051.txt
agent-1  | 2026-09-12T01:04:33.349193Z [info     ] publisher.event_published      event_id=8a224fb5-b45b-4676-8f03-5b803efda917
agent-1  | 2026-09-12T01:04:33.351749Z [info     ] detector.change_detected       event_id=8a224fb5-b45b-4676-8f03-5b803efda917 event_type=file_modified path=/watch/latency-ext-051.txt
agent-1  | 2026-09-12T01:04:33.362160Z [info     ] publisher.event_acked          event_id=8a224fb5-b45b-4676-8f03-5b803efda917
agent-1  | 2026-09-12T01:04:33.445745Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=0a4ed03e-a5ed-442a-9f3b-c4cbeb44a15a path=/watch/latency-ext-052.txt
agent-1  | 2026-09-12T01:04:33.452863Z [info     ] publisher.event_published      event_id=0a4ed03e-a5ed-442a-9f3b-c4cbeb44a15a
agent-1  | 2026-09-12T01:04:33.455417Z [info     ] detector.change_detected       event_id=0a4ed03e-a5ed-442a-9f3b-c4cbeb44a15a event_type=file_modified path=/watch/latency-ext-052.txt
agent-1  | 2026-09-12T01:04:33.465976Z [info     ] publisher.event_acked          event_id=0a4ed03e-a5ed-442a-9f3b-c4cbeb44a15a
agent-1  | 2026-09-12T01:04:33.538097Z [warning  ] detector.out_of_scope_drop     path=/runc-process2271753262 total_drops=45
agent-1  | 2026-09-12T01:04:33.538359Z [warning  ] detector.out_of_scope_drop     path=/runc-process2271753262 total_drops=46
agent-1  | 2026-09-12T01:04:33.549348Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=2115effe-f5ec-475f-ba9a-795b26498f73 path=/watch/latency-ext-053.txt
agent-1  | 2026-09-12T01:04:33.553166Z [info     ] publisher.event_published      event_id=2115effe-f5ec-475f-ba9a-795b26498f73
agent-1  | 2026-09-12T01:04:33.554557Z [info     ] detector.change_detected       event_id=2115effe-f5ec-475f-ba9a-795b26498f73 event_type=file_modified path=/watch/latency-ext-053.txt
agent-1  | 2026-09-12T01:04:33.558823Z [info     ] publisher.event_acked          event_id=2115effe-f5ec-475f-ba9a-795b26498f73
agent-1  | 2026-09-12T01:04:33.567533Z [warning  ] detector.out_of_scope_drop     path=/runc-process2271753262 total_drops=47
agent-1  | 2026-09-12T01:04:33.659718Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=733040b7-49c4-47a2-b3c1-7184d1d871da path=/watch/latency-ext-054.txt
agent-1  | 2026-09-12T01:04:33.667360Z [info     ] publisher.event_published      event_id=733040b7-49c4-47a2-b3c1-7184d1d871da
agent-1  | 2026-09-12T01:04:33.669644Z [info     ] detector.change_detected       event_id=733040b7-49c4-47a2-b3c1-7184d1d871da event_type=file_modified path=/watch/latency-ext-054.txt
agent-1  | 2026-09-12T01:04:33.679510Z [info     ] publisher.event_acked          event_id=733040b7-49c4-47a2-b3c1-7184d1d871da
agent-1  | 2026-09-12T01:04:33.738912Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=34bd691f-91a9-4082-9ddb-dd13d06e1b66 path=/watch/latency-ext-055.txt
agent-1  | 2026-09-12T01:04:33.744415Z [info     ] publisher.event_published      event_id=34bd691f-91a9-4082-9ddb-dd13d06e1b66
