[2026-09-17T22:41:16.789224727Z] === Batería 5 — etiqueta=nominal rate_limit=100/60s ===
[2026-09-17T22:41:16.801053312Z] candidato=7a906c202e417aec5f03d9a7545e216a724aca81 arbol=1d5848c435a6a3a06725e9bceb57e586977e9c9a tag=v1.0-tesis
[2026-09-17T22:41:17.126909036Z] eventos_iniciales=0 cola_inicial=-1
[2026-09-17T22:41:17.132958287Z] --- fase 1: detener el backend (corte de 5 minutos) ---
[2026-09-17T22:41:18.221916342Z] backend detenido
[2026-09-17T22:41:18.228917042Z] --- fase 2: generar 3000 cambios a 10/s durante 300 s ---
========================================================================
generador_carga.py — arranque 2026-09-17T22:41:18.947892+00:00
========================================================================
  generador                    = scripts/generador_carga.py
 [00043/3000] modify revertido  /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:23.152815+00:00
 [00044/3000] modify revertido  /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:23.252780+00:00
 [00045/3000] modify simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:23.353093+00:00
 [00046/3000] modify simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:23.452813+00:00
 [00047/3000] modify simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:23.552812+00:00
 [00048/3000] create simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T22:41:23.652684+00:00
 [00049/3000] create simple     /srv/fim-watch/gen_00012.txt ts=2026-09-17T22:41:23.752728+00:00
 [00050/3000] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-17T22:41:23.852820+00:00
 [00051/3000] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-17T22:41:23.952573+00:00
 [00052/3000] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-17T22:41:24.052672+00:00
 [00053/3000] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-17T22:41:24.152985+00:00
 [00054/3000] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-17T22:41:24.253074+00:00
 [00055/3000] modify simple     /srv/fim-watch/gen_00010.txt ts=2026-09-17T22:41:24.353107+00:00
 [00056/3000] delete simple     /srv/fim-watch/gen_00007.txt ts=2026-09-17T22:41:24.452417+00:00
 [00057/3000] delete simple     /srv/fim-watch/gen_00012.txt ts=2026-09-17T22:41:24.553025+00:00
