operation_id,case,operation,expected_detection,kernel_seen,suppressed,decision_seen,queue_persisted,xadd_succeeded,xadd_failed,acknowledged,backend_persisted,backend_status,backend_received_at,event_ids,stages,interpretation
absence-20260910T052521Z-r2:12,D_ephemeral,ephemeral,,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:26:55.061715+00:00,c1c5274c-a523-49f0-bf1e-d682fbe6af4a,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:13,B_sucesivo_c1,modify,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:27:00.882290+00:00,6ee74cc3-9804-4b75-bcde-11c4ea8c8108,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:14,B_sucesivo_c2,modify,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:27:03.880861+00:00,f072377a-c4fa-43bb-ab7b-3cd2d052f369,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:15,B_retorno_baseline_aprobada,modify,False,True,True,False,False,False,False,False,not_applicable,,,,baseline_read|decision_suppressed|kernel_received,suppressed_by_active_baseline
absence-20260910T052521Z-r2:16,C_create,create,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:27:09.884754+00:00,31760db5-4884-48e1-8700-2e6b942b3ccd,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:17,C_delete,delete,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:27:12.881383+00:00,9d867091-3dc7-4777-9dc5-0523adfa8998,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:18,D_ephemeral,ephemeral,,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:27:13.057840+00:00,b06460b6-3ada-4af0-b4ad-d0d31a599302,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:19,B_sucesivo_c1,modify,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:27:18.891018+00:00,53d13811-cc14-4bf1-93c0-2152a2da0448,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:20,B_sucesivo_c2,modify,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:27:21.885527+00:00,73d3a3c7-5c7e-48bf-94f1-5d1d00fa0451,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:21,B_retorno_baseline_aprobada,modify,False,True,True,False,False,False,False,False,not_applicable,,,,baseline_read|decision_suppressed|kernel_received,suppressed_by_active_baseline
