event_id,path,event_type,hash_expected,hash_detected,status,received_at
37a96baa-a2c2-42d1-9d50-a45e458b4748,/watch/baseline_65d6f374c819208b_005.bin,file_modified,b1c55d859d27c893ab8c8d6557344ad7e3968ee99416ed2eb072fc7b54a36c15,cce914281c1df97c137c6a9420b475830239a4845a0a0c463ce4c95a7d3f71f9,alert_only,2026-09-10 05:27:39.893699+00
711fce77-9af9-47e6-9cfb-20d51dc0fd45,/watch/lifecycle_65d6f374c819208b_005.bin,file_modified,,df21b97edf18eb54737cefbfbbcf2a1e5919bd500adce25c674b4b9509378e49,alert_only,2026-09-10 05:27:45.897377+00
7226a784-be35-4e29-9b83-8c1d31d4ea8f,/watch/lifecycle_65d6f374c819208b_005.bin,file_deleted,,"",alert_only,2026-09-10 05:27:48.885485+00
bbe5fff7-00ae-4397-bb5f-7d95543aaebc,/watch/ephemeral_65d6f374c819208b_005.bin,file_absent,,"",alert_only,2026-09-10 05:27:49.057041+00
3adc1073-cab7-45d1-a6e5-bd248ecf5cc7,/watch/baseline_65d6f374c819208b_006.bin,file_modified,b1c55d859d27c893ab8c8d6557344ad7e3968ee99416ed2eb072fc7b54a36c15,df21b97edf18eb54737cefbfbbcf2a1e5919bd500adce25c674b4b9509378e49,alert_only,2026-09-10 05:27:54.893648+00
e2a752cf-d89b-43e2-bb09-1d2729ee9813,/watch/baseline_65d6f374c819208b_006.bin,file_modified,b1c55d859d27c893ab8c8d6557344ad7e3968ee99416ed2eb072fc7b54a36c15,cce914281c1df97c137c6a9420b475830239a4845a0a0c463ce4c95a7d3f71f9,alert_only,2026-09-10 05:27:57.897048+00
8305f636-b120-436b-b690-7708686090ac,/watch/lifecycle_65d6f374c819208b_006.bin,file_created,,df21b97edf18eb54737cefbfbbcf2a1e5919bd500adce25c674b4b9509378e49,alert_only,2026-09-10 05:28:03.903369+00
8ca4dd08-fe66-4624-8212-8f8b485557ff,/watch/lifecycle_65d6f374c819208b_006.bin,file_deleted,df21b97edf18eb54737cefbfbbcf2a1e5919bd500adce25c674b4b9509378e49,"",alert_only,2026-09-10 05:28:06.903121+00
e3ff538b-766d-4b91-8fe8-f021787eaa0b,/watch/ephemeral_65d6f374c819208b_006.bin,file_absent,,"",alert_only,2026-09-10 05:28:07.080879+00
a19592e8-f61b-4c47-9020-744f0d367514,/watch/baseline_65d6f374c819208b_007.bin,file_modified,b1c55d859d27c893ab8c8d6557344ad7e3968ee99416ed2eb072fc7b54a36c15,df21b97edf18eb54737cefbfbbcf2a1e5919bd500adce25c674b4b9509378e49,alert_only,2026-09-10 05:28:12.906549+00
aa1c314e-aa71-4b77-804f-8188521575d6,/watch/baseline_65d6f374c819208b_007.bin,file_modified,b1c55d859d27c893ab8c8d6557344ad7e3968ee99416ed2eb072fc7b54a36c15,cce914281c1df97c137c6a9420b475830239a4845a0a0c463ce4c95a7d3f71f9,alert_only,2026-09-10 05:28:15.902889+00
d587d292-6d9a-4203-9b44-3a697970401c,/watch/lifecycle_65d6f374c819208b_007.bin,file_created,,df21b97edf18eb54737cefbfbbcf2a1e5919bd500adce25c674b4b9509378e49,alert_only,2026-09-10 05:28:21.910356+00
fb747147-4252-438c-95f8-ccea908327f1,/watch/lifecycle_65d6f374c819208b_007.bin,file_deleted,df21b97edf18eb54737cefbfbbcf2a1e5919bd500adce25c674b4b9509378e49,"",alert_only,2026-09-10 05:28:24.910739+00
01a26ce9-8dd4-4a5d-8f33-fddfaebc5995,/watch/ephemeral_65d6f374c819208b_007.bin,file_absent,,"",alert_only,2026-09-10 05:28:25.086476+00
aaa4972d-d09d-41bc-aa9a-0fc9e5ac7f2c,/watch/baseline_65d6f374c819208b_008.bin,file_modified,b1c55d859d27c893ab8c8d6557344ad7e3968ee99416ed2eb072fc7b54a36c15,df21b97edf18eb54737cefbfbbcf2a1e5919bd500adce25c674b4b9509378e49,alert_only,2026-09-10 05:28:30.910912+00
dc68b201-1282-4db0-95de-7211fa7e349a,/watch/baseline_65d6f374c819208b_008.bin,file_modified,b1c55d859d27c893ab8c8d6557344ad7e3968ee99416ed2eb072fc7b54a36c15,cce914281c1df97c137c6a9420b475830239a4845a0a0c463ce4c95a7d3f71f9,alert_only,2026-09-10 05:28:33.909694+00
9131fe74-1fa4-4a8a-9199-bcc6ca767523,/watch/lifecycle_65d6f374c819208b_008.bin,file_modified,,df21b97edf18eb54737cefbfbbcf2a1e5919bd500adce25c674b4b9509378e49,alert_only,2026-09-10 05:28:39.91451+00
e383d093-0480-4225-b03e-6dd354852b6e,/watch/lifecycle_65d6f374c819208b_008.bin,file_deleted,,"",alert_only,2026-09-10 05:28:42.915928+00
96bb7807-c940-4473-bea3-86840f9a4a64,/watch/ephemeral_65d6f374c819208b_008.bin,file_absent,,"",alert_only,2026-09-10 05:28:43.098002+00
b555b0dc-c788-484f-8dd3-773eb3cf150d,/watch/baseline_65d6f374c819208b_009.bin,file_modified,b1c55d859d27c893ab8c8d6557344ad7e3968ee99416ed2eb072fc7b54a36c15,df21b97edf18eb54737cefbfbbcf2a1e5919bd500adce25c674b4b9509378e49,alert_only,2026-09-10 05:28:48.907777+00
1fe02cc6-e4ac-4af9-bcd2-946557e649a6,/watch/baseline_65d6f374c819208b_009.bin,file_modified,b1c55d859d27c893ab8c8d6557344ad7e3968ee99416ed2eb072fc7b54a36c15,cce914281c1df97c137c6a9420b475830239a4845a0a0c463ce4c95a7d3f71f9,alert_only,2026-09-10 05:28:51.913044+00
ba660298-037e-4462-881f-69ec29724017,/watch/lifecycle_65d6f374c819208b_009.bin,file_created,,df21b97edf18eb54737cefbfbbcf2a1e5919bd500adce25c674b4b9509378e49,alert_only,2026-09-10 05:28:57.924404+00
df09814d-9abe-47b3-b368-957fe09a13e1,/watch/lifecycle_65d6f374c819208b_009.bin,file_deleted,df21b97edf18eb54737cefbfbbcf2a1e5919bd500adce25c674b4b9509378e49,"",alert_only,2026-09-10 05:29:00.924569+00
7fc735a2-c23a-454e-97d3-2256f594681d,/watch/ephemeral_65d6f374c819208b_009.bin,file_absent,,"",alert_only,2026-09-10 05:29:01.104011+00
736ee971-4047-467b-8c71-da3b04189864,/watch/baseline_65d6f374c819208b_010.bin,file_modified,b1c55d859d27c893ab8c8d6557344ad7e3968ee99416ed2eb072fc7b54a36c15,df21b97edf18eb54737cefbfbbcf2a1e5919bd500adce25c674b4b9509378e49,alert_only,2026-09-10 05:29:06.923132+00
ccb513b3-b0ac-4e06-93bc-826ce2b0b7bf,/watch/baseline_65d6f374c819208b_010.bin,file_modified,b1c55d859d27c893ab8c8d6557344ad7e3968ee99416ed2eb072fc7b54a36c15,cce914281c1df97c137c6a9420b475830239a4845a0a0c463ce4c95a7d3f71f9,alert_only,2026-09-10 05:29:09.915582+00
294fbd22-84f4-45ed-b9d6-c3f526eda2ff,/watch/lifecycle_65d6f374c819208b_010.bin,file_created,,df21b97edf18eb54737cefbfbbcf2a1e5919bd500adce25c674b4b9509378e49,alert_only,2026-09-10 05:29:15.920439+00
4f8eef5a-c136-4880-9ab2-bc776adec0ab,/watch/lifecycle_65d6f374c819208b_010.bin,file_deleted,df21b97edf18eb54737cefbfbbcf2a1e5919bd500adce25c674b4b9509378e49,"",alert_only,2026-09-10 05:29:18.923937+00
53ad567e-a951-43b2-a29f-362a0c687cec,/watch/ephemeral_65d6f374c819208b_010.bin,file_absent,,"",alert_only,2026-09-10 05:29:19.099366+00
