[2026-09-17T23:39:52.269131524Z] === Battery 5 — label=nominal rate_limit=100/60s ===
[2026-09-17T23:39:52.279718316Z] candidate=7a906c202e417aec5f03d9a7545e216a724aca81 tree=1d5848c435a6a3a06725e9bceb57e586977e9c9a tag=v1.0-tesis
[2026-09-17T23:39:52.836750908Z] initial: events=0 queue+discarded=0 0 valkey_6380=1
[2026-09-17T23:39:52.843913913Z] --- phase 1: stop the backend (5-minute outage) ---
[2026-09-17T23:39:53.985860293Z] backend stopped; valkey_6380=1
[2026-09-17T23:39:53.992112263Z] --- phase 2: generate 3000 changes at 10/s over 300 s ---
========================================================================
generador_carga.py — arranque 2026-09-17T23:39:54.360999+00:00
========================================================================
  generador                    = scripts/generador_carga.py
 [00043/3000] modify revertido  /srv/fim-watch/gen_00004.txt ts=2026-09-17T23:39:58.566454+00:00
 [00044/3000] modify revertido  /srv/fim-watch/gen_00004.txt ts=2026-09-17T23:39:58.666402+00:00
 [00045/3000] modify simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T23:39:58.766637+00:00
 [00046/3000] modify simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T23:39:58.866636+00:00
 [00047/3000] modify simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T23:39:58.966637+00:00
 [00048/3000] create simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T23:39:59.066128+00:00
 [00049/3000] create simple     /srv/fim-watch/gen_00012.txt ts=2026-09-17T23:39:59.166283+00:00
 [00050/3000] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-17T23:39:59.266672+00:00
 [00051/3000] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-17T23:39:59.366466+00:00
 [00052/3000] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-17T23:39:59.466382+00:00
 [00053/3000] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-17T23:39:59.566444+00:00
 [00054/3000] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-17T23:39:59.666435+00:00
 [00055/3000] modify simple     /srv/fim-watch/gen_00010.txt ts=2026-09-17T23:39:59.766634+00:00
 [00056/3000] delete simple     /srv/fim-watch/gen_00007.txt ts=2026-09-17T23:39:59.866677+00:00
 [00057/3000] delete simple     /srv/fim-watch/gen_00012.txt ts=2026-09-17T23:39:59.966268+00:00
 [00058/3000] create simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T23:40:00.066392+00:00
 [00059/3000] modify revertido  /srv/fim-watch/gen_00013.txt ts=2026-09-17T23:40:00.166441+00:00
 [00060/3000] modify revertido  /srv/fim-watch/gen_00013.txt ts=2026-09-17T23:40:00.266408+00:00
 [00061/3000] modify simple     /srv/fim-watch/gen_00010.txt ts=2026-09-17T23:40:00.366468+00:00
 [00062/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T23:40:00.466436+00:00
 [00063/3000] create simple     /srv/fim-watch/gen_00014.txt ts=2026-09-17T23:40:00.566279+00:00
 [00064/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T23:40:00.666399+00:00
 [00065/3000] modify simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T23:40:00.766655+00:00
 [00066/3000] modify simple     /srv/fim-watch/gen_00008.txt ts=2026-09-17T23:40:00.866568+00:00
 [00067/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T23:40:00.966485+00:00
 [00068/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T23:40:01.066437+00:00
 [00069/3000] modify revertido  /srv/fim-watch/gen_00004.txt ts=2026-09-17T23:40:01.166441+00:00
 [00070/3000] modify revertido  /srv/fim-watch/gen_00004.txt ts=2026-09-17T23:40:01.266434+00:00
 [00071/3000] modify simple     /srv/fim-watch/gen_00010.txt ts=2026-09-17T23:40:01.366613+00:00
 [00072/3000] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T23:40:01.466426+00:00
 [00073/3000] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T23:40:01.566477+00:00
 [00074/3000] create simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T23:40:01.666487+00:00
 [00075/3000] create simple     /srv/fim-watch/gen_00016.txt ts=2026-09-17T23:40:01.766535+00:00
 [00076/3000] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-17T23:40:01.866716+00:00
 [00077/3000] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-17T23:40:01.966403+00:00
 [00078/3000] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-17T23:40:02.066151+00:00
 [00079/3000] modify simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T23:40:02.166245+00:00
 [00080/3000] delete simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T23:40:02.266188+00:00
 [00081/3000] delete simple     /srv/fim-watch/gen_00014.txt ts=2026-09-17T23:40:02.366080+00:00
 [00082/3000] modify simple     /srv/fim-watch/gen_00016.txt ts=2026-09-17T23:40:02.466420+00:00
 [00083/3000] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T23:40:02.566785+00:00
 [00084/3000] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T23:40:02.666466+00:00
 [00085/3000] create efimero    /srv/fim-watch/gen_00017.txt ts=2026-09-17T23:40:02.766508+00:00
 [00086/3000] delete efimero    /srv/fim-watch/gen_00017.txt ts=2026-09-17T23:40:02.866277+00:00
 [00087/3000] modify revertido  /srv/fim-watch/gen_00006.txt ts=2026-09-17T23:40:02.966664+00:00
 [00088/3000] modify revertido  /srv/fim-watch/gen_00006.txt ts=2026-09-17T23:40:03.066436+00:00
 [00089/3000] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T23:40:03.166360+00:00
 [00090/3000] modify revertido  /srv/fim-watch/gen_00016.txt ts=2026-09-17T23:40:03.266460+00:00
 [00091/3000] modify revertido  /srv/fim-watch/gen_00016.txt ts=2026-09-17T23:40:03.366402+00:00
 [00092/3000] create simple     /srv/fim-watch/gen_00018.txt ts=2026-09-17T23:40:03.466526+00:00
 [00093/3000] modify colapsado  /srv/fim-watch/gen_00008.txt ts=2026-09-17T23:40:03.566694+00:00
 [00094/3000] modify colapsado  /srv/fim-watch/gen_00008.txt ts=2026-09-17T23:40:03.666414+00:00
 [00095/3000] modify colapsado  /srv/fim-watch/gen_00008.txt ts=2026-09-17T23:40:03.766377+00:00
 [00096/3000] modify colapsado  /srv/fim-watch/gen_00008.txt ts=2026-09-17T23:40:03.866665+00:00
 [00097/3000] modify colapsado  /srv/fim-watch/gen_00008.txt ts=2026-09-17T23:40:03.966440+00:00
 [00098/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T23:40:04.066502+00:00
 [00099/3000] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T23:40:04.166274+00:00
 [00100/3000] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T23:40:04.266467+00:00
 [00101/3000] modify revertido  /srv/fim-watch/gen_00013.txt ts=2026-09-17T23:40:04.366423+00:00
 [00102/3000] modify revertido  /srv/fim-watch/gen_00013.txt ts=2026-09-17T23:40:04.466567+00:00
 [00103/3000] modify revertido  /srv/fim-watch/gen_00013.txt ts=2026-09-17T23:40:04.566909+00:00
 [00104/3000] modify revertido  /srv/fim-watch/gen_00013.txt ts=2026-09-17T23:40:04.666380+00:00
 [00105/3000] create simple     /srv/fim-watch/gen_00019.txt ts=2026-09-17T23:40:04.766524+00:00
 [00106/3000] delete simple     /srv/fim-watch/gen_00008.txt ts=2026-09-17T23:40:04.866270+00:00
 [00107/3000] create simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T23:40:04.966291+00:00
 [00108/3000] modify revertido  /srv/fim-watch/gen_00018.txt ts=2026-09-17T23:40:05.066787+00:00
 [00109/3000] modify revertido  /srv/fim-watch/gen_00018.txt ts=2026-09-17T23:40:05.166414+00:00
 [00110/3000] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T23:40:05.266243+00:00
 [00111/3000] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-17T23:40:05.366173+00:00
 [00112/3000] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T23:40:05.466530+00:00
 [00113/3000] delete simple     /srv/fim-watch/gen_00010.txt ts=2026-09-17T23:40:05.566688+00:00
 [00114/3000] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T23:40:05.666109+00:00
 [00115/3000] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T23:40:05.767090+00:00
 [00116/3000] create simple     /srv/fim-watch/gen_00021.txt ts=2026-09-17T23:40:05.866253+00:00
 [00117/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T23:40:05.966455+00:00
 [00118/3000] modify simple     /srv/fim-watch/gen_00021.txt ts=2026-09-17T23:40:06.066409+00:00
 [00119/3000] delete simple     /srv/fim-watch/gen_00021.txt ts=2026-09-17T23:40:06.166256+00:00
 [00120/3000] create simple     /srv/fim-watch/gen_00022.txt ts=2026-09-17T23:40:06.266529+00:00
 [00121/3000] create simple     /srv/fim-watch/critico/gen_00023.txt ts=2026-09-17T23:40:06.366498+00:00
 [00122/3000] modify colapsado  /srv/fim-watch/gen_00022.txt ts=2026-09-17T23:40:06.466436+00:00
 [00123/3000] modify colapsado  /srv/fim-watch/gen_00022.txt ts=2026-09-17T23:40:06.566839+00:00
 [00124/3000] modify colapsado  /srv/fim-watch/gen_00022.txt ts=2026-09-17T23:40:06.666420+00:00
 [00125/3000] modify colapsado  /srv/fim-watch/gen_00022.txt ts=2026-09-17T23:40:06.766820+00:00
 [00126/3000] modify colapsado  /srv/fim-watch/gen_00022.txt ts=2026-09-17T23:40:06.866422+00:00
 [00127/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T23:40:06.966588+00:00
 [00128/3000] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T23:40:07.066435+00:00
 [00129/3000] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T23:40:07.166440+00:00
 [00130/3000] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T23:40:07.266299+00:00
 [00131/3000] modify simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T23:40:07.366910+00:00
 [00132/3000] modify simple     /srv/fim-watch/critico/gen_00023.txt ts=2026-09-17T23:40:07.466525+00:00
 [00133/3000] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-17T23:40:07.566476+00:00
 [00134/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T23:40:07.666570+00:00
 [00135/3000] modify simple     /srv/fim-watch/gen_00016.txt ts=2026-09-17T23:40:07.766783+00:00
 [00136/3000] create simple     /srv/fim-watch/gen_00024.txt ts=2026-09-17T23:40:07.866290+00:00
 [00137/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T23:40:07.966462+00:00
 [00138/3000] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-17T23:40:08.066581+00:00
 [00139/3000] create simple     /srv/fim-watch/critico/gen_00025.txt ts=2026-09-17T23:40:08.166323+00:00
 [00140/3000] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-17T23:40:08.266840+00:00
 [00141/3000] create simple     /srv/fim-watch/gen_00026.txt ts=2026-09-17T23:40:08.366702+00:00
 [00142/3000] delete simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T23:40:08.466821+00:00
 [00143/3000] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T23:40:08.566456+00:00
 [00144/3000] modify simple     /srv/fim-watch/critico/gen_00023.txt ts=2026-09-17T23:40:08.666389+00:00
 [00145/3000] modify simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T23:40:08.766420+00:00
 [00146/3000] modify simple     /srv/fim-watch/gen_00026.txt ts=2026-09-17T23:40:08.866501+00:00
 [00147/3000] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-17T23:40:08.966435+00:00
