event_id,path,event_type,status,severity,detected_at,received_at
5ecdef2e-ef71-4534-b87f-6af434126229,/srv/fim-watch/gen_00232.txt,file_modified,alert_only,high,2026-09-18 03:00:41.603961+00,2026-09-18 03:03:13.960641+00
a56c8b05-83c1-44ac-baf8-2a8da05e1149,/srv/fim-watch/gen_00298.txt,file_modified,alert_only,high,2026-09-18 03:00:41.703705+00,2026-09-18 03:03:13.976507+00
14075033-fd4e-4fa6-b84b-8311d96f985b,/srv/fim-watch/gen_00341.txt,file_deleted,alert_only,high,2026-09-18 03:00:41.803135+00,2026-09-18 03:03:13.992937+00
0a07fe91-f255-45b7-adf3-24a2471dbeeb,/srv/fim-watch/gen_00350.txt,file_modified,alert_only,high,2026-09-18 03:00:41.903828+00,2026-09-18 03:03:14.012518+00
d128773c-7d06-47bf-8c19-2d98347fce7e,/srv/fim-watch/gen_00306.txt,file_modified,alert_only,high,2026-09-18 03:00:42.004769+00,2026-09-18 03:03:14.029974+00
7528a974-ec27-4460-bfde-8f3eb5c4fb7a,/srv/fim-watch/gen_00057.txt,file_modified,alert_only,high,2026-09-18 03:00:42.102393+00,2026-09-18 03:03:14.048375+00
bac7c96d-8dab-4f69-8366-21e3dd494010,/srv/fim-watch/critico/gen_00262.txt,file_modified,alert_only,critical,2026-09-18 03:00:42.205494+00,2026-09-18 03:03:14.068247+00
a83ed481-9166-4ce4-8848-1cf4f8d6b214,/srv/fim-watch/critico/gen_00253.txt,file_modified,alert_only,critical,2026-09-18 03:00:42.302387+00,2026-09-18 03:03:14.088277+00
44e7c42b-20cc-4d8b-972a-0913ef2b83bd,/srv/fim-watch/gen_00238.txt,file_modified,alert_only,high,2026-09-18 03:00:42.402142+00,2026-09-18 03:03:14.106792+00
ac8eb735-802c-431b-b852-08250acf8a6b,/srv/fim-watch/critico/gen_00351.txt,file_modified,alert_only,critical,2026-09-18 03:00:42.503195+00,2026-09-18 03:03:14.132428+00
12d90251-a2de-4a09-aadf-839dba1e9255,/srv/fim-watch/gen_00198.txt,file_modified,alert_only,high,2026-09-18 03:00:42.702943+00,2026-09-18 03:03:14.141234+00
45f098c2-99cb-49d8-a243-67da123d2025,/srv/fim-watch/gen_00299.txt,file_modified,alert_only,high,2026-09-18 03:00:42.903643+00,2026-09-18 03:03:14.159855+00
e3a976fb-2849-4ec4-8d1f-89aaf15bfb22,/srv/fim-watch/gen_00064.txt,file_modified,alert_only,high,2026-09-18 03:00:43.00344+00,2026-09-18 03:03:14.177783+00
