========================================================================
generador_carga.py — arranque 2026-09-17T21:57:50.842390+00:00
========================================================================
  generador                    = scripts/generador_carga.py
  seed                         = 20260917
  rate_eventos_por_segundo     = 0.2778
  count                        = 500
  mix                          = {'creacion': 0.2, 'modificacion': 0.7, 'borrado': 0.1}
  revert_frac                  = 0.2
  burst_frac                   = 0.2
  burst_size                   = 5
  ephemeral_frac               = 0.2
  critical_subdir              = critico
  critical_frac                = 0.2
  file_size_bytes              = 64
  prefix                       = gen
  dir_host                     = /srv/fim-watch
  agent_prefix                 = /srv/fim-watch
  intervalo_s                  = 3.599712023038157
  duracion_estimada_s          = 1796.2562994960404
  manifiesto                   = /srv/evidencia/bateria3_manifiesto.json
  log                          = /srv/evidencia/bateria3_generador.log
  dry_run                      = False
  python                       = 3.13.15
  host                         = fim-host
 [00049/500] create simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:00:43.630182+00:00
 [00050/500] create simple     /srv/fim-watch/gen_00012.txt ts=2026-09-17T22:00:47.230232+00:00
 [00051/500] modify simple     /srv/fim-watch/gen_00008.txt ts=2026-09-17T22:00:50.829476+00:00
 [00052/500] delete simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:00:54.429242+00:00
 [00053/500] create simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:00:58.028779+00:00
 [00054/500] modify simple     /srv/fim-watch/gen_00005.txt ts=2026-09-17T22:01:01.629029+00:00
 [00055/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-17T22:01:05.228781+00:00
 [00056/500] modify simple     /srv/fim-watch/gen_00012.txt ts=2026-09-17T22:01:08.828251+00:00
 [00057/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-17T22:01:12.427965+00:00
 [00058/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-17T22:01:16.027890+00:00
 [00059/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-17T22:01:19.627434+00:00
 [00060/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-17T22:01:23.227430+00:00
 [00061/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-17T22:01:26.826681+00:00
 [00062/500] create simple     /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:01:30.426640+00:00
 [00063/500] modify revertido  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:01:34.026458+00:00
 [00064/500] modify revertido  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:01:37.625895+00:00
 [00065/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:01:41.226072+00:00
 [00066/500] create simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T22:01:44.825285+00:00
 [00067/500] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T22:01:48.425127+00:00
 [00068/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-17T22:01:52.025082+00:00
 [00069/500] modify simple     /srv/fim-watch/gen_00005.txt ts=2026-09-17T22:01:55.624743+00:00
 [00070/500] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:01:59.224337+00:00
 [00071/500] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:02:02.824055+00:00
 [00072/500] modify revertido  /srv/fim-watch/gen_00005.txt ts=2026-09-17T22:02:06.423678+00:00
 [00073/500] modify revertido  /srv/fim-watch/gen_00005.txt ts=2026-09-17T22:02:10.023348+00:00
 [00074/500] create simple     /srv/fim-watch/gen_00016.txt ts=2026-09-17T22:02:13.623033+00:00
 [00075/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:02:17.222781+00:00
 [00076/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:02:20.822267+00:00
 [00077/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:02:24.422267+00:00
 [00078/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:02:28.022066+00:00
 [00079/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:02:31.621405+00:00
 [00080/500] create simple     /srv/fim-watch/gen_00017.txt ts=2026-09-17T22:02:35.221438+00:00
 [00081/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-17T22:02:38.821204+00:00
 [00082/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-17T22:02:42.420501+00:00
 [00083/500] modify simple     /srv/fim-watch/critico/gen_00010.txt ts=2026-09-17T22:02:46.020562+00:00
 [00084/500] delete simple     /srv/fim-watch/gen_00008.txt ts=2026-09-17T22:02:49.620075+00:00
 [00085/500] modify simple     /srv/fim-watch/critico/gen_00010.txt ts=2026-09-17T22:02:53.220347+00:00
 [00086/500] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:02:56.819468+00:00
 [00087/500] delete simple     /srv/fim-watch/gen_00012.txt ts=2026-09-17T22:03:00.419444+00:00
 [00088/500] delete simple     /srv/fim-watch/gen_00016.txt ts=2026-09-17T22:03:04.018916+00:00
 [00089/500] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T22:03:07.618731+00:00
 [00090/500] create efimero    /srv/fim-watch/critico/gen_00018.txt ts=2026-09-17T22:03:11.218535+00:00
 [00091/500] delete efimero    /srv/fim-watch/critico/gen_00018.txt ts=2026-09-17T22:03:14.817974+00:00
 [00092/500] modify simple     /srv/fim-watch/critico/gen_00010.txt ts=2026-09-17T22:03:18.417695+00:00
 [00093/500] delete simple     /srv/fim-watch/gen_00003.txt ts=2026-09-17T22:03:22.017844+00:00
 [00094/500] create simple     /srv/fim-watch/gen_00019.txt ts=2026-09-17T22:03:25.617010+00:00
 [00095/500] modify simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:03:29.217035+00:00
 [00096/500] create simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T22:03:32.816837+00:00
 [00097/500] modify simple     /srv/fim-watch/gen_00017.txt ts=2026-09-17T22:03:36.416279+00:00
 [00098/500] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T22:03:40.016207+00:00
 [00099/500] create simple     /srv/fim-watch/critico/gen_00021.txt ts=2026-09-17T22:03:43.615762+00:00
 [00100/500] create simple     /srv/fim-watch/critico/gen_00022.txt ts=2026-09-17T22:03:47.215418+00:00
 [00101/500] modify simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:03:50.815352+00:00
 [00102/500] modify simple     /srv/fim-watch/gen_00005.txt ts=2026-09-17T22:03:54.415035+00:00
 [00103/500] create simple     /srv/fim-watch/gen_00023.txt ts=2026-09-17T22:03:58.014491+00:00
 [00104/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:04:01.614487+00:00
 [00105/500] delete simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T22:04:05.214254+00:00
 [00106/500] modify simple     /srv/fim-watch/gen_00019.txt ts=2026-09-17T22:04:08.813597+00:00
 [00107/500] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-17T22:04:12.413657+00:00
 [00108/500] modify colapsado  /srv/fim-watch/gen_00023.txt ts=2026-09-17T22:04:16.013097+00:00
 [00109/500] modify colapsado  /srv/fim-watch/gen_00023.txt ts=2026-09-17T22:04:19.613041+00:00
 [00110/500] modify colapsado  /srv/fim-watch/gen_00023.txt ts=2026-09-17T22:04:23.212986+00:00
 [00111/500] modify colapsado  /srv/fim-watch/gen_00023.txt ts=2026-09-17T22:04:26.812213+00:00
 [00112/500] modify colapsado  /srv/fim-watch/gen_00023.txt ts=2026-09-17T22:04:30.412177+00:00
 [00113/500] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:04:34.011771+00:00
 [00114/500] modify simple     /srv/fim-watch/gen_00005.txt ts=2026-09-17T22:04:37.611477+00:00
 [00115/500] modify simple     /srv/fim-watch/critico/gen_00022.txt ts=2026-09-17T22:04:41.211255+00:00
 [00116/500] modify simple     /srv/fim-watch/gen_00023.txt ts=2026-09-17T22:04:44.811030+00:00
 [00117/500] create simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-17T22:04:48.410766+00:00
 [00118/500] modify simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-17T22:04:52.010389+00:00
 [00119/500] delete simple     /srv/fim-watch/critico/gen_00010.txt ts=2026-09-17T22:04:55.610008+00:00
 [00120/500] create simple     /srv/fim-watch/gen_00025.txt ts=2026-09-17T22:04:59.209687+00:00
 [00121/500] modify simple     /srv/fim-watch/critico/gen_00021.txt ts=2026-09-17T22:05:02.809618+00:00
 [00122/500] delete simple     /srv/fim-watch/critico/gen_00021.txt ts=2026-09-17T22:05:06.409119+00:00
 [00123/500] modify simple     /srv/fim-watch/gen_00017.txt ts=2026-09-17T22:05:10.009266+00:00
 [00124/500] modify revertido  /srv/fim-watch/gen_00017.txt ts=2026-09-17T22:05:13.608658+00:00
 [00125/500] modify revertido  /srv/fim-watch/gen_00017.txt ts=2026-09-17T22:05:17.208276+00:00
 [00126/500] modify simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-17T22:05:20.808142+00:00
 [00127/500] delete simple     /srv/fim-watch/gen_00007.txt ts=2026-09-17T22:05:24.407638+00:00
 [00128/500] modify simple     /srv/fim-watch/gen_00017.txt ts=2026-09-17T22:05:28.007468+00:00
 [00129/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:05:31.607296+00:00
 [00130/500] create simple     /srv/fim-watch/gen_00026.txt ts=2026-09-17T22:05:35.206887+00:00
 [00131/500] delete simple     /srv/fim-watch/gen_00005.txt ts=2026-09-17T22:05:38.806527+00:00
 [00132/500] modify simple     /srv/fim-watch/gen_00023.txt ts=2026-09-17T22:05:42.406356+00:00
 [00133/500] delete simple     /srv/fim-watch/critico/gen_00022.txt ts=2026-09-17T22:05:46.005937+00:00
 [00134/500] modify simple     /srv/fim-watch/gen_00026.txt ts=2026-09-17T22:05:49.606031+00:00
 [00135/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-17T22:05:53.205242+00:00
 [00136/500] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T22:05:56.805248+00:00
 [00137/500] modify simple     /srv/fim-watch/gen_00025.txt ts=2026-09-17T22:06:00.405089+00:00
 [00138/500] modify revertido  /srv/fim-watch/gen_00019.txt ts=2026-09-17T22:06:04.005082+00:00
 [00139/500] modify revertido  /srv/fim-watch/gen_00019.txt ts=2026-09-17T22:06:07.604161+00:00
 [00140/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:06:11.204541+00:00
 [00141/500] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:06:14.803799+00:00
 [00142/500] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:06:18.403800+00:00
 [00143/500] create simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-17T22:06:22.003534+00:00
 [00144/500] modify simple     /srv/fim-watch/gen_00025.txt ts=2026-09-17T22:06:25.603269+00:00
 [00145/500] modify simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-17T22:06:29.202822+00:00
 [00146/500] modify simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-17T22:06:32.802689+00:00
 [00147/500] delete simple     /srv/fim-watch/gen_00019.txt ts=2026-09-17T22:06:36.402648+00:00
 [00148/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:06:40.002759+00:00
 [00149/500] create simple     /srv/fim-watch/gen_00028.txt ts=2026-09-17T22:06:43.601425+00:00
 [00150/500] create simple     /srv/fim-watch/critico/gen_00029.txt ts=2026-09-17T22:06:47.201218+00:00
 [00151/500] modify simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:06:50.801150+00:00
 [00152/500] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:06:54.400711+00:00
 [00153/500] modify simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-17T22:06:58.000570+00:00
 [00154/500] create simple     /srv/fim-watch/gen_00030.txt ts=2026-09-17T22:07:01.599972+00:00
 [00155/500] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T22:07:05.199836+00:00
 [00156/500] modify simple     /srv/fim-watch/critico/gen_00029.txt ts=2026-09-17T22:07:08.799483+00:00
 [00157/500] modify simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:07:12.399501+00:00
 [00158/500] create simple     /srv/fim-watch/gen_00031.txt ts=2026-09-17T22:07:15.998783+00:00
 [00159/500] create simple     /srv/fim-watch/gen_00032.txt ts=2026-09-17T22:07:19.598495+00:00
 [00160/500] modify simple     /srv/fim-watch/gen_00026.txt ts=2026-09-17T22:07:23.198231+00:00
 [00161/500] create efimero    /srv/fim-watch/critico/gen_00033.txt ts=2026-09-17T22:07:26.798305+00:00
 [00162/500] delete efimero    /srv/fim-watch/critico/gen_00033.txt ts=2026-09-17T22:07:30.397600+00:00
 [00163/500] create simple     /srv/fim-watch/gen_00034.txt ts=2026-09-17T22:07:33.997442+00:00
 [00164/500] delete simple     /srv/fim-watch/gen_00028.txt ts=2026-09-17T22:07:37.597542+00:00
 [00165/500] create simple     /srv/fim-watch/critico/gen_00035.txt ts=2026-09-17T22:07:41.196702+00:00
 [00166/500] create simple     /srv/fim-watch/gen_00036.txt ts=2026-09-17T22:07:44.796644+00:00
 [00167/500] create simple     /srv/fim-watch/gen_00037.txt ts=2026-09-17T22:07:48.396321+00:00
 [00168/500] modify simple     /srv/fim-watch/gen_00025.txt ts=2026-09-17T22:07:51.995907+00:00
 [00169/500] modify revertido  /srv/fim-watch/critico/gen_00009.txt ts=2026-09-17T22:07:55.595497+00:00
 [00170/500] modify revertido  /srv/fim-watch/critico/gen_00009.txt ts=2026-09-17T22:07:59.195668+00:00
 [00171/500] delete simple     /srv/fim-watch/critico/gen_00035.txt ts=2026-09-17T22:08:02.795083+00:00
 [00172/500] modify simple     /srv/fim-watch/gen_00026.txt ts=2026-09-17T22:08:06.395200+00:00
 [00173/500] modify simple     /srv/fim-watch/gen_00036.txt ts=2026-09-17T22:08:09.994610+00:00
