========================================================================
generador_carga.py — arranque 2026-09-18T20:53:57.965728+00:00
========================================================================
  generador                    = scripts/generador_carga.py
  seed                         = 20260918
  rate_eventos_por_segundo     = 10.0
  count                        = 400
  mix                          = {'creacion': 0.2, 'modificacion': 0.7, 'borrado': 0.1}
  revert_frac                  = 0.2
  burst_frac                   = 0.2
  burst_size                   = 5
  ephemeral_frac               = 0.2
  critical_subdir              = critico
  critical_frac                = 0.2
  file_size_bytes              = 64
  prefix                       = gen
  dir_host                     = /srv/fim-watch
  agent_prefix                 = /srv/fim-watch
  intervalo_s                  = 0.1
  duracion_estimada_s          = 39.900000000000006
  manifiesto                   = /srv/evidencia/item42_manifiesto.json
  log                          = /srv/evidencia/item42_generador.log
  dry_run                      = False
  python                       = 3.13.15
  host                         = fim-host
 [00050/400] modify colapsado  /srv/fim-watch/gen_00005.txt ts=2026-09-18T20:54:02.867482+00:00
 [00051/400] modify colapsado  /srv/fim-watch/gen_00005.txt ts=2026-09-18T20:54:02.967493+00:00
 [00052/400] modify colapsado  /srv/fim-watch/gen_00005.txt ts=2026-09-18T20:54:03.067497+00:00
 [00053/400] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:03.167701+00:00
 [00054/400] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:03.267664+00:00
 [00055/400] modify colapsado  /srv/fim-watch/gen_00005.txt ts=2026-09-18T20:54:03.367584+00:00
 [00056/400] modify colapsado  /srv/fim-watch/gen_00005.txt ts=2026-09-18T20:54:03.467664+00:00
 [00057/400] modify colapsado  /srv/fim-watch/gen_00005.txt ts=2026-09-18T20:54:03.567789+00:00
 [00058/400] modify colapsado  /srv/fim-watch/gen_00005.txt ts=2026-09-18T20:54:03.667530+00:00
 [00059/400] modify colapsado  /srv/fim-watch/gen_00005.txt ts=2026-09-18T20:54:03.767576+00:00
 [00060/400] delete simple     /srv/fim-watch/gen_00005.txt ts=2026-09-18T20:54:03.867494+00:00
 [00061/400] create simple     /srv/fim-watch/gen_00008.txt ts=2026-09-18T20:54:03.967502+00:00
 [00062/400] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:04.067608+00:00
 [00063/400] delete simple     /srv/fim-watch/gen_00008.txt ts=2026-09-18T20:54:04.167445+00:00
 [00064/400] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:04.267614+00:00
 [00065/400] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:04.367573+00:00
 [00066/400] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:04.467552+00:00
 [00067/400] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:04.567778+00:00
 [00068/400] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:04.667614+00:00
 [00069/400] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:04.767755+00:00
 [00070/400] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:04.867573+00:00
 [00071/400] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:04.967600+00:00
 [00072/400] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:05.067606+00:00
 [00073/400] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:05.167685+00:00
 [00074/400] create simple     /srv/fim-watch/gen_00009.txt ts=2026-09-18T20:54:05.267432+00:00
 [00075/400] modify revertido  /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:05.367620+00:00
 [00076/400] modify revertido  /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:05.467631+00:00
 [00077/400] modify simple     /srv/fim-watch/gen_00009.txt ts=2026-09-18T20:54:05.567597+00:00
 [00078/400] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:05.667670+00:00
 [00079/400] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:05.767770+00:00
 [00080/400] modify simple     /srv/fim-watch/gen_00009.txt ts=2026-09-18T20:54:05.867630+00:00
 [00081/400] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:05.967719+00:00
 [00082/400] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:06.067936+00:00
 [00083/400] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:06.167598+00:00
 [00084/400] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:06.267644+00:00
 [00085/400] modify colapsado  /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:06.367480+00:00
 [00086/400] delete simple     /srv/fim-watch/gen_00009.txt ts=2026-09-18T20:54:06.467408+00:00
 [00087/400] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:06.567408+00:00
 [00088/400] create simple     /srv/fim-watch/gen_00010.txt ts=2026-09-18T20:54:06.667548+00:00
 [00089/400] create simple     /srv/fim-watch/gen_00011.txt ts=2026-09-18T20:54:06.767452+00:00
 [00090/400] delete simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T20:54:06.867378+00:00
 [00091/400] modify revertido  /srv/fim-watch/gen_00011.txt ts=2026-09-18T20:54:06.967403+00:00
 [00092/400] modify revertido  /srv/fim-watch/gen_00011.txt ts=2026-09-18T20:54:07.067578+00:00
 [00093/400] modify simple     /srv/fim-watch/gen_00010.txt ts=2026-09-18T20:54:07.167370+00:00
 [00094/400] modify simple     /srv/fim-watch/gen_00010.txt ts=2026-09-18T20:54:07.267312+00:00
 [00095/400] delete simple     /srv/fim-watch/gen_00010.txt ts=2026-09-18T20:54:07.367449+00:00
 [00096/400] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-18T20:54:07.467465+00:00
 [00097/400] delete simple     /srv/fim-watch/gen_00011.txt ts=2026-09-18T20:54:07.567355+00:00
 [00098/400] create simple     /srv/fim-watch/critico/gen_00012.txt ts=2026-09-18T20:54:07.667481+00:00
 [00099/400] modify simple     /srv/fim-watch/critico/gen_00012.txt ts=2026-09-18T20:54:07.767430+00:00
 [00100/400] modify simple     /srv/fim-watch/critico/gen_00012.txt ts=2026-09-18T20:54:07.867602+00:00
 [00101/400] delete simple     /srv/fim-watch/critico/gen_00012.txt ts=2026-09-18T20:54:07.967490+00:00
 [00102/400] create simple     /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:08.067553+00:00
 [00103/400] modify simple     /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:08.167346+00:00
 [00104/400] modify simple     /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:08.267765+00:00
 [00105/400] modify simple     /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:08.367705+00:00
 [00106/400] modify colapsado  /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:08.467553+00:00
 [00107/400] modify colapsado  /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:08.567479+00:00
 [00108/400] modify colapsado  /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:08.667903+00:00
 [00109/400] modify colapsado  /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:08.767761+00:00
 [00110/400] modify colapsado  /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:08.867605+00:00
 [00111/400] modify simple     /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:08.967762+00:00
 [00112/400] modify simple     /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:09.067597+00:00
 [00113/400] modify simple     /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:09.167441+00:00
 [00114/400] modify colapsado  /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:09.267659+00:00
 [00115/400] modify colapsado  /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:09.367570+00:00
 [00116/400] modify colapsado  /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:09.467680+00:00
 [00117/400] modify colapsado  /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:09.567603+00:00
 [00118/400] modify colapsado  /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:09.667602+00:00
