scan_id,ts_scan_utc,ts_scan_epoch,ts_scan_previo_epoch,operacion,ruta_host,ruta_agente,hash_antes,hash_despues,bytes,motivo
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00053.txt,/srv/fim-watch/gen_00053.txt,,19dd1fe0fa55d3edd12e96995e1893771d527a36c0fa6279a5f0b364fb4abe53,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00055.txt,/srv/fim-watch/gen_00055.txt,,528e38ea3b3cfc74dce7d1d7360281f0a633d65f177af796c1ed5e39592f2889,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00056.txt,/srv/fim-watch/gen_00056.txt,,256c2126d7fca77ac7064bfa8599d52f47dd91302a6775e6b4775b442b5b082d,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00059.txt,/srv/fim-watch/gen_00059.txt,,54b35a22b6f1b8498a2fdad1ab00d2eb0779f310fe1d258d1803f5378c5049d1,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00060.txt,/srv/fim-watch/gen_00060.txt,,c16af14fdb38aad02a1c644c70b6ff5db37f72c8e6429ff4c6694dd1872ce35d,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00061.txt,/srv/fim-watch/gen_00061.txt,,8a2897288e64f08044300efde8527fe5992f06286acecab0c4053d5fb8935dc5,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00062.txt,/srv/fim-watch/gen_00062.txt,,3c76dbeaf88e1fa122ff24e8a1428b60160b3842831a0e4a88ed2d98701b4faf,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00063.txt,/srv/fim-watch/gen_00063.txt,,67d1a2e24a75f738f4a2644ef216b0e3a68f77faf3e2cee037a321d7ea7ed58e,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00065.txt,/srv/fim-watch/gen_00065.txt,,a9d991fcb018aa3357a15c18c426564a561babba01a369de804afc9cb85c39af,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00066.txt,/srv/fim-watch/gen_00066.txt,,9edff18b2f68d0731e756dd5065947ffe9ea1ebdc15bb8d67d1ffbb3064d0788,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00067.txt,/srv/fim-watch/gen_00067.txt,,7a8caded2f37f2acd5947f8bee39a1a66823792120c19db0bef50f10342de3ea,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00068.txt,/srv/fim-watch/gen_00068.txt,,5eea3e4b9e568a2b098f05d93ed10b518e59f5ba460d8eb84053849a20c7e4ca,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00069.txt,/srv/fim-watch/gen_00069.txt,,2721eb357d6b8a78182858beca241622853870b5cc958d119e2cf0f363c34a90,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00071.txt,/srv/fim-watch/gen_00071.txt,,462811c46cd0b56f8aed16f8d582fd772d163bafc96933075780b3bf45c801e8,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00073.txt,/srv/fim-watch/gen_00073.txt,,3154d7f333f5f8e942aeb9bb91507173b02c11f824474c0824b8e8e1c4c0cea6,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00074.txt,/srv/fim-watch/gen_00074.txt,,748c53d8ec34f0cf7cc7c376f5a90da710a0656925a1778a8c3747c7dae6b12b,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00076.txt,/srv/fim-watch/gen_00076.txt,,c73c64a2c9cbf76bb3a8311fdbe74fa34e850cdef852c514f56bd9ad0edb20b2,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00077.txt,/srv/fim-watch/gen_00077.txt,,793a56bd8a68c8f69ccfebda5fa3f3a1ad92336ff43533f2c170051742c396a4,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00078.txt,/srv/fim-watch/gen_00078.txt,,97e319141d6e8811194fb75bfc2438434f2a9885c6e3ec49794eca6bd4a8567e,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00079.txt,/srv/fim-watch/gen_00079.txt,,794f14f5ea0a96629637a1c1a75dbcea58111382825380bad30b51bf62f4dfb3,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00080.txt,/srv/fim-watch/gen_00080.txt,,50661a07251645bcdb5e3b31b693a770b4514c20c618aa5fe67043e68d25f2a5,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00081.txt,/srv/fim-watch/gen_00081.txt,,5bcb46ac17f4b8f9a8dbe74415ab7fc614657f71c86e0326fc0e3ac93749832f,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00082.txt,/srv/fim-watch/gen_00082.txt,,dd09969647159a0cda93d4dac1e42653c0c734088b04c92ae6fec792c3f4c65f,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00083.txt,/srv/fim-watch/gen_00083.txt,,036851f673285d86c1e49a6c328b11cb91c9c7efc4240037d7d0cf022ae37aba,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00086.txt,/srv/fim-watch/gen_00086.txt,,1a57439d948e9683e57c1e3c03a72d83fb7e9ce234b51502569df848328ab90f,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00087.txt,/srv/fim-watch/gen_00087.txt,,28635bd26df3c6f58ca729b942528345f798d102b03e1074daa352cb9e918953,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00088.txt,/srv/fim-watch/gen_00088.txt,,ba5be860909458311374500083333e7d78ad2bdbf186e291522c99d4afa1f26b,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00090.txt,/srv/fim-watch/gen_00090.txt,,1a4b00b3020a5d3f894e948e430c28c56e80ffb289abaa91ca631a47ab92ea9e,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00092.txt,/srv/fim-watch/gen_00092.txt,,c4fea268a2ebb882788cfb3f2270b0b02d247e29f0f98acdb283ea3dc75cfaa2,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00093.txt,/srv/fim-watch/gen_00093.txt,,759b4ca28e8864b17e6f22e71f3892ea2e2aead08a5b13a8132dedd583d466ce,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,create,/srv/fim-watch/gen_00095.txt,/srv/fim-watch/gen_00095.txt,,cc07dedeb9c743a1d0fbbe5ff61c721bde4778054cd4edee8151d9e7cadf8665,65,alta
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,delete,/srv/fim-watch/critico/gen_00009.txt,/srv/fim-watch/critico/gen_00009.txt,4e0a6421e44fddf1ae67d6271a9d8d7231b4487275813ef9a5bf1161ebd82a81,,,baja
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,delete,/srv/fim-watch/critico/gen_00042.txt,/srv/fim-watch/critico/gen_00042.txt,5710f2047b661f55e017da54297af4cfed8e853df7bd7dfd090ef54094af7daa,,,baja
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,delete,/srv/fim-watch/gen_00032.txt,/srv/fim-watch/gen_00032.txt,c1500a43e529653c7b0bfbdafc81f003e260535b7c8690494718cf2137e12126,,,baja
3,2026-09-18T02:41:15.843717+00:00,1789699275.843717,1789698375.842605,delete,/srv/fim-watch/gen_00036.txt,/srv/fim-watch/gen_00036.txt,eb13836a9fee0056c69d7250c8020d96c034363fc5b063f67ea042bfc293573e,,,baja
