========================================================================
generador_carga.py — arranque 2026-09-18T03:55:29.252500+00:00
========================================================================
  generador                    = scripts/generador_carga.py
  seed                         = 20260917
  rate_eventos_por_segundo     = 0.2778
  count                        = 500
  mix                          = {'creacion': 0.2, 'modificacion': 0.7, 'borrado': 0.1}
  revert_frac                  = 0.2
  burst_frac                   = 0.2
  burst_size                   = 5
  ephemeral_frac               = 0.2
  critical_subdir              = critico
  critical_frac                = 0.2
  file_size_bytes              = 64
  prefix                       = gen
  dir_host                     = /srv/fim-watch
  agent_prefix                 = /srv/fim-watch
  intervalo_s                  = 3.599712023038157
  duracion_estimada_s          = 1796.2562994960404
  manifiesto                   = /srv/evidencia/bateria3_manifiesto.json
  log                          = /srv/evidencia/bateria3_generador.log
  dry_run                      = False
  python                       = 3.13.15
  host                         = fim-host
 [00049/500] create simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T03:58:22.040610+00:00
 [00050/500] create simple     /srv/fim-watch/gen_00012.txt ts=2026-09-18T03:58:25.640346+00:00
 [00051/500] modify simple     /srv/fim-watch/gen_00008.txt ts=2026-09-18T03:58:29.240332+00:00
 [00052/500] delete simple     /srv/fim-watch/gen_00004.txt ts=2026-09-18T03:58:32.839901+00:00
 [00053/500] create simple     /srv/fim-watch/gen_00013.txt ts=2026-09-18T03:58:36.439413+00:00
 [00054/500] modify simple     /srv/fim-watch/gen_00005.txt ts=2026-09-18T03:58:40.039250+00:00
 [00055/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T03:58:43.639291+00:00
 [00056/500] modify simple     /srv/fim-watch/gen_00012.txt ts=2026-09-18T03:58:47.238688+00:00
 [00057/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-18T03:58:50.838394+00:00
 [00058/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-18T03:58:54.438394+00:00
 [00059/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-18T03:58:58.037979+00:00
 [00060/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-18T03:59:01.637758+00:00
 [00061/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-18T03:59:05.237415+00:00
 [00062/500] create simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T03:59:08.836965+00:00
 [00063/500] modify revertido  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T03:59:12.436609+00:00
 [00064/500] modify revertido  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T03:59:16.036551+00:00
 [00065/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T03:59:19.636269+00:00
 [00066/500] create simple     /srv/fim-watch/gen_00015.txt ts=2026-09-18T03:59:23.235775+00:00
 [00067/500] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-18T03:59:26.835666+00:00
 [00068/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T03:59:30.435319+00:00
 [00069/500] modify simple     /srv/fim-watch/gen_00005.txt ts=2026-09-18T03:59:34.035343+00:00
 [00070/500] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-18T03:59:37.634665+00:00
 [00071/500] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-18T03:59:41.234440+00:00
 [00072/500] modify revertido  /srv/fim-watch/gen_00005.txt ts=2026-09-18T03:59:44.834074+00:00
 [00073/500] modify revertido  /srv/fim-watch/gen_00005.txt ts=2026-09-18T03:59:48.433923+00:00
 [00074/500] create simple     /srv/fim-watch/gen_00016.txt ts=2026-09-18T03:59:52.033523+00:00
 [00075/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T03:59:55.633540+00:00
 [00076/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T03:59:59.233090+00:00
 [00077/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T04:00:02.832657+00:00
 [00078/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T04:00:06.432483+00:00
 [00079/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T04:00:10.032057+00:00
 [00080/500] create simple     /srv/fim-watch/gen_00017.txt ts=2026-09-18T04:00:13.631716+00:00
 [00081/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T04:00:17.231804+00:00
 [00082/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T04:00:20.831314+00:00
 [00083/500] modify simple     /srv/fim-watch/critico/gen_00010.txt ts=2026-09-18T04:00:24.430794+00:00
 [00084/500] delete simple     /srv/fim-watch/gen_00008.txt ts=2026-09-18T04:00:28.030637+00:00
 [00085/500] modify simple     /srv/fim-watch/critico/gen_00010.txt ts=2026-09-18T04:00:31.630558+00:00
 [00086/500] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-18T04:00:35.230335+00:00
 [00087/500] delete simple     /srv/fim-watch/gen_00012.txt ts=2026-09-18T04:00:38.829651+00:00
 [00088/500] delete simple     /srv/fim-watch/gen_00016.txt ts=2026-09-18T04:00:42.429538+00:00
 [00089/500] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-18T04:00:46.029397+00:00
 [00090/500] create efimero    /srv/fim-watch/critico/gen_00018.txt ts=2026-09-18T04:00:49.629051+00:00
 [00091/500] delete efimero    /srv/fim-watch/critico/gen_00018.txt ts=2026-09-18T04:00:53.228505+00:00
 [00092/500] modify simple     /srv/fim-watch/critico/gen_00010.txt ts=2026-09-18T04:00:56.828284+00:00
 [00093/500] delete simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T04:01:00.427952+00:00
 [00094/500] create simple     /srv/fim-watch/gen_00019.txt ts=2026-09-18T04:01:04.027644+00:00
 [00095/500] modify simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T04:01:07.627486+00:00
 [00096/500] create simple     /srv/fim-watch/gen_00020.txt ts=2026-09-18T04:01:11.227347+00:00
 [00097/500] modify simple     /srv/fim-watch/gen_00017.txt ts=2026-09-18T04:01:14.826724+00:00
 [00098/500] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-18T04:01:18.426729+00:00
 [00099/500] create simple     /srv/fim-watch/critico/gen_00021.txt ts=2026-09-18T04:01:22.026328+00:00
 [00100/500] create simple     /srv/fim-watch/critico/gen_00022.txt ts=2026-09-18T04:01:25.625817+00:00
 [00101/500] modify simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T04:01:29.226079+00:00
 [00102/500] modify simple     /srv/fim-watch/gen_00005.txt ts=2026-09-18T04:01:32.825421+00:00
 [00103/500] create simple     /srv/fim-watch/gen_00023.txt ts=2026-09-18T04:01:36.425186+00:00
 [00104/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T04:01:40.025059+00:00
 [00105/500] delete simple     /srv/fim-watch/gen_00015.txt ts=2026-09-18T04:01:43.624584+00:00
 [00106/500] modify simple     /srv/fim-watch/gen_00019.txt ts=2026-09-18T04:01:47.224617+00:00
 [00107/500] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T04:01:50.824287+00:00
 [00108/500] modify colapsado  /srv/fim-watch/gen_00023.txt ts=2026-09-18T04:01:54.423803+00:00
 [00109/500] modify colapsado  /srv/fim-watch/gen_00023.txt ts=2026-09-18T04:01:58.023546+00:00
 [00110/500] modify colapsado  /srv/fim-watch/gen_00023.txt ts=2026-09-18T04:02:01.623444+00:00
 [00111/500] modify colapsado  /srv/fim-watch/gen_00023.txt ts=2026-09-18T04:02:05.223114+00:00
 [00112/500] modify colapsado  /srv/fim-watch/gen_00023.txt ts=2026-09-18T04:02:08.822580+00:00
 [00113/500] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-18T04:02:12.422286+00:00
 [00114/500] modify simple     /srv/fim-watch/gen_00005.txt ts=2026-09-18T04:02:16.022177+00:00
 [00115/500] modify simple     /srv/fim-watch/critico/gen_00022.txt ts=2026-09-18T04:02:19.621776+00:00
 [00116/500] modify simple     /srv/fim-watch/gen_00023.txt ts=2026-09-18T04:02:23.221641+00:00
 [00117/500] create simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-18T04:02:26.821289+00:00
 [00118/500] modify simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-18T04:02:30.421177+00:00
 [00119/500] delete simple     /srv/fim-watch/critico/gen_00010.txt ts=2026-09-18T04:02:34.020561+00:00
 [00120/500] create simple     /srv/fim-watch/gen_00025.txt ts=2026-09-18T04:02:37.620425+00:00
 [00121/500] modify simple     /srv/fim-watch/critico/gen_00021.txt ts=2026-09-18T04:02:41.220132+00:00
 [00122/500] delete simple     /srv/fim-watch/critico/gen_00021.txt ts=2026-09-18T04:02:44.819662+00:00
 [00123/500] modify simple     /srv/fim-watch/gen_00017.txt ts=2026-09-18T04:02:48.419487+00:00
 [00124/500] modify revertido  /srv/fim-watch/gen_00017.txt ts=2026-09-18T04:02:52.019294+00:00
 [00125/500] modify revertido  /srv/fim-watch/gen_00017.txt ts=2026-09-18T04:02:55.619077+00:00
 [00126/500] modify simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-18T04:02:59.218922+00:00
 [00127/500] delete simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T04:03:02.818438+00:00
 [00128/500] modify simple     /srv/fim-watch/gen_00017.txt ts=2026-09-18T04:03:06.418149+00:00
 [00129/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T04:03:10.018206+00:00
 [00130/500] create simple     /srv/fim-watch/gen_00026.txt ts=2026-09-18T04:03:13.617611+00:00
 [00131/500] delete simple     /srv/fim-watch/gen_00005.txt ts=2026-09-18T04:03:17.217324+00:00
 [00132/500] modify simple     /srv/fim-watch/gen_00023.txt ts=2026-09-18T04:03:20.817229+00:00
 [00133/500] delete simple     /srv/fim-watch/critico/gen_00022.txt ts=2026-09-18T04:03:24.416543+00:00
 [00134/500] modify simple     /srv/fim-watch/gen_00026.txt ts=2026-09-18T04:03:28.016395+00:00
 [00135/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T04:03:31.616295+00:00
 [00136/500] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-18T04:03:35.215705+00:00
 [00137/500] modify simple     /srv/fim-watch/gen_00025.txt ts=2026-09-18T04:03:38.815547+00:00
 [00138/500] modify revertido  /srv/fim-watch/gen_00019.txt ts=2026-09-18T04:03:42.415310+00:00
 [00139/500] modify revertido  /srv/fim-watch/gen_00019.txt ts=2026-09-18T04:03:46.015274+00:00
 [00140/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T04:03:49.614679+00:00
 [00141/500] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-18T04:03:53.214561+00:00
 [00142/500] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-18T04:03:56.814102+00:00
 [00143/500] create simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T04:04:00.413722+00:00
 [00144/500] modify simple     /srv/fim-watch/gen_00025.txt ts=2026-09-18T04:04:04.013483+00:00
 [00145/500] modify simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-18T04:04:07.613303+00:00
 [00146/500] modify simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-18T04:04:11.213038+00:00
 [00147/500] delete simple     /srv/fim-watch/gen_00019.txt ts=2026-09-18T04:04:14.812531+00:00
 [00148/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T04:04:18.412412+00:00
 [00149/500] create simple     /srv/fim-watch/gen_00028.txt ts=2026-09-18T04:04:22.011667+00:00
 [00150/500] create simple     /srv/fim-watch/critico/gen_00029.txt ts=2026-09-18T04:04:25.611671+00:00
 [00151/500] modify simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T04:04:29.211545+00:00
 [00152/500] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-18T04:04:32.811282+00:00
 [00153/500] modify simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-18T04:04:36.410963+00:00
 [00154/500] create simple     /srv/fim-watch/gen_00030.txt ts=2026-09-18T04:04:40.010415+00:00
 [00155/500] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-18T04:04:43.610420+00:00
 [00156/500] modify simple     /srv/fim-watch/critico/gen_00029.txt ts=2026-09-18T04:04:47.210022+00:00
